Tabela 6,,,,,,,
PRODUTOS DA IND?STRIA SUCROALCOOLEIRA,,,,,,,
ESTIMATIVA DA PRODU€?O DE A€?CAR,,,,,,,
SAFRAS 2022/23 E 2023/24,,,,,,,
,,,,,,,
REGI?O/UF,A€?CAR (Em mil t),,,,,,
,Safra 2022/23                                                                   (a),Safra 2023/24              Lev. Anterior (b),Safra 2023/24                                     Lev. Atual                                        (c),Varia‡?o,,Varia‡?o,
,,,,Absoluta (c-a),% (c/a),Absoluta (c-b),% (c/b)
NORTE, 72.3 , 92.7 , 93.7 , 21.4 , 29.6 , 1.0 , 1.1 
RR, -  , -  , -  , -  , -   , -  , -   
RO, -  , -  , -  , -  , -   , -  , -   
AC, -  , -  , -  , -  , -   , -  , -   
AM, 12.1 , 14.9 , 14.9 , 2.8 , 23.3 , -  , -   
AP, -  , -  , -  , -  , -   , -  , -   
PA, 60.3 , 77.8 , 78.8 , 18.6 , 30.9 , 1.0 , 1.3 
TO, -  , -  , -  , -  , -   , -  , -   
NORDESTE," 3,204.8 "," 3,530.7 "," 3,576.4 ", 371.6 , 11.6 , 45.7 , 1.3 
MA, 26.1 , 28.4 , 25.8 , (0.4), (1.4), (2.6), (9.2)
PI, 101.0 , 104.0 , 104.0 , 3.0 , 3.0 , -  , -   
CE, -  , -  , -  , -  , -   , -  , -   
RN, 206.9 , 229.5 , 218.7 , 11.8 , 5.7 , (10.7), (4.7)
PB, 125.0 , 125.0 , 210.5 , 85.5 , 68.4 , 85.5 , 68.4 
PE, 982.7 ," 1,004.3 "," 1,103.4 ", 120.7 , 12.3 , 99.1 , 9.9 
AL," 1,545.8 "," 1,765.0 "," 1,639.4 ", 93.6 , 6.1 , (125.6), (7.1)
SE, 129.8 , 124.6 , 124.6 , (5.2), (4.0), -  , -   
BA, 87.5 , 150.0 , 150.0 , 62.5 , 71.4 , -  , -   
CENTRO-OESTE," 4,165.0 "," 4,514.3 "," 4,949.1 ", 784.1 , 18.8 , 434.8 , 9.6 
MT, 501.6 , 534.0 , 536.3 , 34.7 , 6.9 , 2.3 , 0.4 
MS," 1,500.3 "," 1,421.4 "," 1,786.3 ", 286.0 , 19.1 , 364.8 , 25.7 
GO," 2,163.1 "," 2,558.9 "," 2,626.5 ", 463.4 , 21.4 , 67.6 , 2.6 
DF, -  , -  , -  , -  ,0.0, -  ,0.0
SUDESTE," 27,146.0 "," 28,138.4 "," 29,754.8 "," 2,608.8 ", 9.6 ," 1,616.4 ", 5.7 
MG," 4,501.9 "," 4,758.6 "," 5,109.2 ", 607.3 , 13.5 , 350.6 , 7.4 
ES, 127.8 , 153.1 , 153.1 , 25.4 , 19.9 , -  , -   
RJ, 28.7 , 25.1 , 59.7 , 31.0 , 108.0 , 34.6 , 137.9 
SP," 22,487.6 "," 23,201.6 "," 24,432.7 "," 1,945.2 ", 8.6 ," 1,231.1 ", 5.3 
SUL," 2,218.8 "," 2,495.5 "," 2,519.4 ", 300.6 , 13.6 , 23.9 , 1.0 
PR," 2,218.8 "," 2,495.5 "," 2,519.4 ", 300.6 , 13.6 , 23.9 , 1.0 
SC, -  , -  , -  , -  , -   , -  , -   
RS, -  , -  , -  , -  , -   , -  , -   
NORTE/NORDESTE," 3,277.1 "," 3,623.4 "," 3,670.1 ", 393.0 , 12.0 , 46.7 , 1.3 
CENTRO-SUL," 33,529.8 "," 35,148.2 "," 37,223.3 "," 3,693.5 ", 11.0 ," 2,075.1 ", 5.9 
BRASIL," 36,806.9 "," 38,771.6 "," 40,893.4 "," 4,086.5 ", 11.1 ," 2,121.8 ", 5.5 
Fonte: Conab.,,,,,,,
Nota: Estimativa em agosto/2023.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
